TITULO_ORIGINAL;PUBLICO;ANO_LANCAMENTO;CLASSIFICACAO;GENEROS;ATORES_PRINCIPAIS;DIRETORES;PRODUTORAS
DESAPEGA;150754;2023;10;Comédia, Romance;Glória Pires, Maisa Silva, Marcos Pasquim, Matheus Costa, Malu Valle, Wagner Santisteban, Polly Marinho, Carol Bresolin, Digão Ribeiro, Pedro Monteiro, Bruna Ciocca, Bruno de Mello, Laura Castro, Letícia Isnard, Maria Gal, Luana Martau, Rodrigo Fagundes, João Fernandes, Narjara Turetta, Gabriel Bulcão, Mavi Lucena, Alice Lieban, Rômulo Chindelar, Raquel Pessoah, Hugo Germano, Allê Maia, Junior Provesi, Victor Pinto, Alezandra Kahandgi, Alba Regina, Mariah Velasquez, Ana Miranda, Chan Suan, Karolina Albertassi, Glaucia Pelliccione, Marina Trindade, Rosa Nogueira, João Flávio, Zoya Maurina, Bernardo Peixoto;Hsu Chien;RUBI Produtora, Bronze Filmes, Audaz Filmes, Telecine, RioFilme
PETER RABBIT 2: THE RUNAWAY;149566;2021;L;Comédia, Família, Aventura;James Corden, Rose Byrne, Domhnall Gleeson, David Oyelowo, Margot Robbie, Elizabeth Debicki, Aimee Horne, Colin Moody, Lennie James, Damon Herriman, Hayley Atwell, Rupert Degas, Sia, Sam Neill, Ewen Leslie, David Wenham, Will Reichelt, Christian Gazal, Tim Minchin, Stewart Alves, Faizan Munawar Varya, Tara Morice, Dave Lawson, Alex Blias, Jude Hyland, Neilesh Ambu, Tom Golding;Will Gluck;Columbia Pictures, Olive Bridge Entertainment, Animal Logic, MRC, 2.0 Entertainment
WIDOWS;148924;2018;16;Drama, Crime, Thriller;Viola Davis, Michelle Rodriguez, Elizabeth Debicki, Cynthia Erivo, Colin Farrell, Robert Duvall, Liam Neeson, Brian Tyree Henry, Daniel Kaluuya, Lukas Haas, Garret Dillahunt, Carrie Coon, Jacki Weaver, Molly Kunz, Jon Bernthal, Manuel Garcia-Rulfo, Matt Walsh, Kevin J. O'Connor, Michael Harney, Clare Cooney, Ann Mitchell, DeRon J. Powell, Adam Wesley Brown, Wendy Mateo, Matthew Fowler, Bailee Brewer, Stephen Hill, Michael Weber, Adepero Oduye, Chuck Inglish, Henson Keys, Doug James, Laura Fisher, Stef Tovar, Bailey Rhyse Walters, Katherine Kupferer, Kirsten Fitzgerald, Deanna Reed-Foster, Paulette McDaniels, Will Zahrn, John Henry Roberts, Paul Stein, Coburn Goss, James Vincent Meredith, Patrese McClain, Jason Bradley, Keith Kupferer, Socorro Santiago, Sir Michael Rocks, Josiah Sheffie, Eric C. Lynch, Brian King, Stephen Eugene Walker, Chris Nolte, Chris Froseth, Kurt Ehrmann, Francis Florczyk, Amanda Rivera, Philip Rayburn Smith, Jon Michael Hill, Tonray Ho, Cameron Knight, Chaon Cross, Mark Lancaster, Lily Mojekwu, Tai'isha Davis, Alejandro Verdin, Josh Bywater, Katherine Mallen Kupferer, Olivia;Steve McQueen;20th Century Fox, Regency Enterprises, Film4 Productions, New Regency Pictures, See-Saw Films, Lammas Park, TSG Entertainment
DEMON SLAYER: TO THE SWORDSMITH VILLAGE;148652;2023;16;Animação, Ação, Fantasia, Thriller;Natsuki Hanae, Akari Kito, Yoshitsugu Matsuoka, Hiro Shimono, Katsuyuki Konishi, Miyuki Sawashiro, Ryota Osaka, Kana Hanazawa, Kengo Kawanishi, Shizuka Ishigami, Nao Toyama, Atsumi Tanezaki;外崎春雄;ufotable, Aniplex, TOHO
THE DEVIL'S DOORWAY;147685;2018;14;Terror, Drama;Lalor Roddy, Ciaran Flynn, Helena Bereen, Lauren Coe, Carleen Melaugh, Dearbhail Carr, Charlie Bonner, Cathy Brennan Bradley, Isaac Heslip, Iona Clarke, Maddox Gulliver, Daragh Merrit;Aislinn Clarke;23ten
IT LIVES INSIDE;147575;2023;Não Informado;Terror, Mistério;Megan Suri, Neeru Bajwa, Mohana Krishnan, Betty Gabriel, Vik Sahay, Gage Marsh, Beatrice Kitsos, Jamie Ives, Siddhartha Minhas, Saisha Ram Muni, Sangeeta Wylie, Jenaya Ross, Jared Ager-Foster, Nutan Thakur, Paige Shaw, Carlo Yu, Josh Raymond;Bishal Dutta;NEON, QC Entertainment, Brightlight Pictures
UNDERWATER;147430;2020;12;Terror, Ficção científica, Ação, Aventura;Kristen Stewart, Vincent Cassel, Mamoudou Athie, T.J. Miller, John Gallagher Jr., Jessica Henwick, Gunner Wright, Fiona Rene, Amanda Troop;William Eubank;Chernin Entertainment, 20th Century Fox, TSG Entertainment
AINBO - THE SPIRIT OF THE AMAZON;147354;2021;L;Aventura, Animação, Família, Fantasia;Lola Raie, Alejandra Gollas, Thom Hoffman, Bernardo de Paula, Dino Andrade, Yeni Alvarez, Rene Mujica, Susana Ballesteros, Naomi Serrano, Gerardo Prat, Rico Sola;José Zelada, Richard Claus;Tunche Films
HAPPY FAMILY;147107;2010;Não Informado;Comédia;Fabio De Luigi, Fabrizio Bentivoglio, Margherita Buy, Alice Croci, Valeria Bilello, Diego Abatantuono, Carla Signoris, Corinna Agustoni, Gianmaria Biancuzzi, Federica Fracassi, Sandra Milo, Ugo Conti, Man Lo Zhang;Gabriele Salvatores;Comune di Milano, Colorado Film, RAI
WHERE THE CRAWDADS SING;146688;2022;14;Drama, Mistério, Romance;Daisy Edgar-Jones, Taylor John Smith, Harris Dickinson, David Strathairn, Michael Hyatt, Sterling Macer Jr., Logan Macrae, Bill Kelly, Ahna O'Reilly, Garret Dillahunt, Jojo Regina, Luke David Blumm, Blue Clarke, Will Bundon, Jayson Warner Smith, Dane Rhodes, Eric Ladin, Robert Larriviere, Ron Flagge, Joe Chrest, Sharon Landry, Jerri Tubbs, Michael A. Newcomer, William Gautreaux, Taylor Shurte, Grace Hinson, Charlie Talbert, Charley Vance, Don Stallings, Wyatt Parker, Payne Bosarge, Lillian Dorsett, Zoey Reid, Patrick Nicks, Adeleine Whittle, Emma Kathryn Coleman, Toby Nichols, Sarah Durn, Caroline Cole, Anna Kabis, Billy Slaughter, Mike Harkins, Brad Blanchard, Leslie France, Sam Anderson, Kevin Clabert, Pete Marinovich, Suzette Lange;Olivia Newman;3000 Pictures, Hello Sunshine, HarperCollins Publishers
FÁTIMA, EL ÚLTIMO MISTERIO;146139;2018;10;Documentário;Eva Higueras, Fran Calvo, Cristina Gonzalez del Valle, Álex Larumbe, Carlos Cañas;Andrés Garrigó;
A RAINY DAY IN NEW YORK;146060;2019;14;Comédia, Romance;Timothée Chalamet, Elle Fanning, Selena Gomez, Jude Law, Diego Luna, Liev Schreiber, Rebecca Hall, Griffin Newman, Kelly Rohrbach Walton, Suki Waterhouse, Annaleigh Ashford, Cherry Jones, Jonathan Hogan, Taylor Black, Kathryn Leigh Scott, Ben Warheit, Will Rogers, Saskia Slaaf, Shannone Holt, Suzanne Smith, Olivia Boreham-Wing, Gus Birney, Elijah Boothe, Frank Marzullo, Kirby Mitchell, Mary Boyer, Ted Neustadt, Dylan Prince, Jonathan Judge-Russo, Jacob Berger, Cole Matson, Tyler Weaks, Gary Wilmes, Pat Kiernan, Annika Pergament, Don Stephenson, Catherine LeFrere, Patricia Dunnock, Edward James Hyland, Geoff Schuppert, Deniz Demirer, Leonard Zimmerman;Woody Allen;Gravier Productions, Perdido Productions
THE FIRST PURGE;145581;2018;18;Ação, Terror, Thriller;Y'lan Noel, Lex Scott Davis, Joivan Wade, Steve Harris, Mugga, Patch Darragh, Marisa Tomei, Luna Lauren Vélez, Kristen Solis, Rotimi Paul, Mo McRae, Jermel Howard, Siya, Christian Robinson, Derek Basco, D.K. Bowser, Mitchell Edwards, Maria Rivera, Chyna Layne, Ian Blackman, Melonie Díaz, Naszir Nance, Peter Johnson, Levy Tran, Kevin Carrigan, Desiigner, Qurrat Ann Kadwani, Cindy Robinson, Cloé Xhauflaire, John P. McGinty, Claudine Ewing, Susanna Guzman, Olivia Frances Williams, Matthew Mesler, Geoff Schuppert, Deidre Goodwin, Nancy Lemenager, Neal Gupta, Ricky Needham, Anthony Lee Medina, Mike Cabellon, Nathyia Jackson, Rolando Martín Gómez, Paul Iatomasi, Katina Forte, Van Jones, Jane Fergus, Alan Pietruszewski, Aaron Moss, Logan Crawford, Gabriel Lopez, Boris Khaykin, Moisés Acevedo, Patrick Byas, Shonica Gooden, Shaun Woodland, Jessica Bell, David Breda, Korey Bastian, Jason John Beebe, Robert Bozek, Allen Wall, Aaron V. Williamson, Bill Smith;Gerard McMurray;Platinum Dunes, Blumhouse Productions, Universal Pictures, Man in a Tree Productions
NADA É POR ACASO;145334;2022;14;Drama;Giovanna Lancellotti, Rafael Cardoso, Mika Guluzian, Tiago Luz, Raquel Rizzo, Fernando Alves Pinto, Laura Proença, Werner Schünemann, Guilherme Garcia, Cleo Queiroz, Anastácia Custódio, Camille Bonnenfant, Danielle Martini, Luma Rangel, Bella Russo, Pablito Kucarz, Ed Canedo;Márcio Trigo;Imagem Filmes, NEWCINE & TV, Raconto Filmes
STRAY KIDS: THE DOMINATE EXPERIENCE;145037;2026;10;Música, Documentário;방찬, 리노, 창빈, 현진, 한, 필릭스, 승민, 아이엔;Paul Dugdale, Farah Khalid;Universal Pictures Content Group, JYP Entertainment, Live Nation Studios
MAXXXINE;144342;2024;18;Terror, Thriller;Mia Goth, Elizabeth Debicki, Moses Sumney, Michelle Monaghan, Bobby Cannavale, Halsey, Lily Collins, Giancarlo Esposito, Kevin Bacon, Charley Rowan McCain, Simon Prast, Deborah Geffner, Daniel Lench, Chloe Farnworth, Brad Swanick, Uli Latukefu, Susan Pingleton, Zachary Mooren, Ned Vaughn, Marcus LaVoi, Sophie Thatcher, Albert Kong, Toby Huss, Taylor Kowalski, Pegah Rashti, Larry Fessenden, Marlyn Ortiz, Alison Wonderland, Kristin Carey, Cecilia Yesuil Kim, Clayton Farris, Melissa Kaye Bontempt, Allen Waiserman, Vera Myers, James Hunter;Ti West;A24, Motel Mojave, Access Entertainment
PADDINGTON IN PERU;144290;2024;10;Aventura, Comédia, Família;Ben Whishaw, Hugh Bonneville, Emily Mortimer, Samuel Joslin, Madeleine Harris, Antonio Banderas, Carla Tous, Olivia Colman, Julie Walters, Imelda Staunton, Jim Broadbent, Hayley Atwell, Oliver Maltman, Joel Fry, Robbie Gee, Sanjeev Bhaskar, Ben Miller, Jessica Hynes, Ella Dacres, Aloreia Spencer, Nicholas Burns, Ashleigh Reynolds, Amit Shah, Ella Bruccoleri, Carlos Carlín, Simon Farnaby, Emma Sidi, Hugh Grant, Vicente Wallenstein;Dougal Wilson;Kinoshita Group, Marmalade Pictures, StudioCanal UK
NUREMBERG;143565;2025;16;História, Drama;Rami Malek, Russell Crowe, Michael Shannon, Leo Woodall, John Slattery, Richard E. Grant, Mark O'Brien, Colin Hanks, Wrenn Schmidt, Andreas Pietschmann, Lydia Peckham, Lotte Verbeek, Dieter Riesle, Peter Jordan, Tom Keune, Fleur Bremmer, Ben Miles, Giuseppe Cederna, Paul Antony-Barber, Michael Sheldon, Donald Sage Mackay, Sam Newman, Jeremy Wheeler, Wayne Brett, Blake Kubena, Jonty Peach, Carl Achleitner, Christian Löber, Laurence Pears, Billy Rayner, Roderick Hill, Brett Keating, Leo Saperstein, András Korcsmáros, Varga Ádám, Wolfgang Cerny, István Knocz, Béla Kósa, Árpád Kiss, Gyula Benedek, Balázs Kovács, Mihály Kaszás, Tamás Frey, Barna Illyés, Péter Tunyogi, Mesterházy Gyula, Soma Zámbori, Róbert Gábor, Gábor Maday, Károly Horváth, Levente Kárpáti, Géza Bodor, Alex Attwood, Alex Diehl, Philippe Jacq, István Anga Kakszi, Ralph Berkin, Barney Taylor, Alexander Tol, Dan Cade, Gábor Németh, Gábor Albert, Erwin Giese, Steven Pacey;James Vanderbilt;Bluestone Entertainment, Walden Media, Filmsquad, Mythology Entertainment, Titan Media
NO HARD FEELINGS;143352;2023;16;Comédia, Romance;Jennifer Lawrence, Andrew Barth Feldman, Laura Benanti, Natalie Morales, Matthew Broderick, Scott MacArthur, Ebon Moss-Bachrach, Kyle Mooney, Hasan Minhaj, Jordan Mendoza, Amalia Yoo, Alysia Joy Powell, Quincy Dunn-Baker, Matthew Noszka, Zahn McClarnon, Madison Odenborg, Achi Miller, Christian Galvis, Matt Walton, Christina Catechis, Christopher Bailey, Eason Rytter, Abigail Hupp, Jacob Augustin, Brendan Kispert, Ethan Metz, Alaina Surgener, Sejal Joshi, Victor Verhaeghe, Kelley Rae O'Donnell, Katie Johantgen, Ari Frenkel, Luca Padovan, John DeMari, Grant Harrison Mateo, Madison McBride, Ben Heineman, Julia DeMoura Braine, Sophie Tananbaum, Melissa Lehman, Isabelle Fisher, Roman Caposino, Brian Calì, Leo Easton Kelly, Darren Valinotti, Alex Tomais, Earl Rose;Gene Stupnitsky;Excellent Cadaver, OPE Partners, Columbia Pictures, Saks Picture Company
O DIÁRIO DE PILAR NA AMAZÔNIA;142332;2026;10;Aventura;Lina Flor, Miguel Soares, Sophia Ataíde, Thúlio Naab, Marcelo Adnet, Emílio Dantas, Babu Santana, Rafael Saraiva, Nanda Costa, Rocco Pitanga, Roberto Bomtempo, Daniel Munduruku, Macsuara Kadiweu, Eunice Baía, Leandro França, Bel Pimentel, Antonio Gomes, Márcio Vito, Pedro Benevides, Wanderson Soares, Maria Volpe, Igor Pedroso, Ingrid Ranieri, Jairo Barbosa, Daniel Tomassoni;Rodrigo Van Der Put, Eduardo Vaisman;Conspiração Filmes, Star Original Productions, The Walt Disney Company, Agência Nacional do Cinema - ANCINE, RioFilme
FLATLINERS;141725;1990;Não Informado;Drama, Ficção científica, Terror;Kiefer Sutherland, Julia Roberts, Kevin Bacon, William Baldwin, Oliver Platt, Kimberly Scott, Joshua Rudoy, Benjamin Mouton, Aeryk Egan, Kesha Reed, Hope Davis, Jim Ortlieb, John Duda, Megan Stewart, Tressa Thomas, Sanna Vraa, Beth Grant, Marilyn Dodds Frank, Patricia Belcher, Deborah Thompson Duda, Julie Warner, Gonzo Gonzalez, Afram Bill Williams, Elinore O'Connell, Nicole Niblack, Cynthia Bassham, Sarabeth Tucek, Ilona Margolis, Iilana B'tiste, Deborah Torchio, Deborah Goomas, Michelle McKee, Nancy Moran, Dede Latinopoulos, Susan French, Angela Paton, Baadja-Lyne Odums, John Benjamin Martin, John Fink, Evelina Fernández, Ingrid Oliu, Anne James, K.K. Dodds, Natsuko Ohama, Marie-Alise Recasner, Shauna O'Brien, Ted Otis;Joel Schumacher;Stonebridge Entertainment, Columbia Pictures
A COMPLETE UNKNOWN;141461;2024;14;Drama, Música;Timothée Chalamet, Edward Norton, Elle Fanning, Monica Barbaro, Scoot McNairy, Dan Fogler, Boyd Holbrook, Will Harrison, Joe Tippett, 初音映莉子, Peter Gray Lewis, Peter Gerety, Lenny Grossman, David Wenzel, Riley Hashimoto, Eloise Peyrot, Maya Feldman, Reza Salazar, James Austin Johnson, David Alan Basche, Joshua Henry, Norbert Leo Butz, Alaina Surgener, Martin Fisher, Craig Geraghty, Michael Everett Johnson, Jater Webb, Andy Talen, Andrew Kober, Eric Berryman, Molly Jobe, Sophie Hart, Taylor Valentine Lupini, P.J. Byrne, Nick Pupo, Brendan Burke, Laura Kariuki, Zoe Zien, Kevyn Morrow, Andy Grotelueschen, Jonathan Spivey, Cilda Shaur, Clark Carmichael, Taylor Goodwyn, Arthur Langlie, Michael Chernus, Jordan Goodsell, Eli Brown, Big Bill Morganfield, Liam Craig, Charlie Tahan, Ian Kagey, Dave Maulbeck, Lorin Doctor, Aidan Close, Irina Chelidze, Jenna Veal, Joshua Flinchbaugh, Cameron G. Quevedo, Alexis Felix, Will Price, Sunny Vinsavich, Kayli Carter, Steve Bell, Malcolm Gold, Patrick Phalen, Douglas Marriner, Justin Levine, Mark Whitfield, Jr., Joshua Crumbley, Felix Lemerle, Malick Koly, Andre Chez Lewis, Jimmy Caltrider, Kyle A. Sanna, Patrick M. Dennis, Nick Baxter, Alan Murray, Mark Gross, Andy Stein, Jean Rohe, Farley Rene, Junior Cius, Travis Patton, Victor Sho, Vincent Mp Filliatre, Amos J. Machanic, Sunny Jain, James Archie Worley, Stephen Carter Carlsen, Bridget McGarry, Michael Lepre, Jon Gennari;James Mangold;Veritas Entertainment Group, Range Media Partners, The Picture Company, Turnpike Films, White Water, Searchlight Pictures, TSG Entertainment
UMA ADVOGADA BRILHANTE;140216;2025;14;Comédia;Leandro Hassum, Claudia Campolina, Bruno Garcia, Marcelo Mansfield, Olivia Lopes, Felipe Torres, Cris Wersom, Fernando Alves Pinto, Gabriel Avellar, Wandi Doratiotto, Paulinho Serra, Renata Brás, Danilo Gentili, Michelle Ferreira, Ary França, Lucélia Machiavelli, Ton Prado, Davi de Almeida, Nany People, Ale McHaddo, Stella McHaddo, Anna Kobzareva, Adyel Silva, Vera Hamburger, Ben Ludmer, Luiz Felipe Mazzoni, Diego Menasse, Melina Anthís;Ale McHaddo;Warner Bros. Pictures Brasil, 44 Filmes, 44 Toons, Agência Nacional do Cinema - ANCINE, Banco Regional de Desenvolvimento do Extremo Sul, Fundo Setorial do Audiovisual, Downtown Filmes
HYPNOTIC;140035;2023;16;Mistério, Ficção científica, Thriller;Ben Affleck, Alice Braga, William Fichtner, J. D. Pardo, Hala Finley, Ionie Olivia Nieves, Dayo Okeniyi, Kelly Frye, Corina Calderon, Jeff Fahey, Sandy Avila, Jackie Earle Haley, Zane Holtz, Ruben Javier Caballero, Ryan Ryusaki, Nikki Dixon, Evan Vines, Bonnie Discepolo, Kelly Phelan, Patrick A. Grover, Dana Wing Lau, Georgia Foy, Jordan Hunter Jones, Justin Hall, Lawrence Varnado, Natalie D. Garcia, Carrick O'Quinn, Derek Russo, Steve Brudniak, Camila Téllez, Jose Barajas, Sonia Izzolena, Bobby Hernandez, Gabriel 'G-Rod' Rodriguez;Robert Rodriguez;Studio 8, Solstice Studios, Ingenious Media, Double R Productions
LAND OF BAD;139882;2024;16;Ação, Guerra, Thriller;Liam Hemsworth, Russell Crowe, Luke Hemsworth, Ricky Whittle, Milo Ventimiglia, Chika Ikogwe, Daniel MacPherson, Robert Rabiah, Jack Finsterer, Chris Masters Mah, Lincoln Lewis, Lachlan Engeler, Miguel Usares, Timothy Latimer, Mikee Joaquin, Joey Vieira, Gunner Wright, Eric Zivic, Manix Butterfield, Jaylen Hill-Suadnyana, Anna Loren, Macca Adamson, Matt Seutin, Rhonda Hargrave, George Burgess, William Eubank, Jeanda St James, Charles Allen, Francisco Sagad, Patricia Violan;William Eubank;Broken Open Pictures, Volition Media Partners, Highland Film Group, Hoodlum Entertainment, R.U. Robot Studios, Moonbow, Gosdom Entertainment, Short Porch Pictures, The Avenue Entertainment
DESCULPE O TRANSTORNO;139861;2016;12;Comédia;Gregório Duvivier, Clarice Falcão, Dani Calabresa, Marcos Caruso, Rafael Infante, Daniel Duncan, Zezé Polessa, Júlia Rabello, Marcos Veras, Luís Lobianco, Analice Pierre, Bernardo Mendes, Carol Portes, Maria Cecília Audi, Clara Carvalho, Daniel Furlan, Fábio Herford, Johnson Li, Leandro Soares, Natasha Stransky, Paula Pretta, Paulo Leal, Paulo Omino, Pedro Eduardo Almendro de Morais, Rafael Meirelles, Ricardo Dantas, Samuel Valladares, Terezinha Cavalcanti, Verônica Debom;Tomás Portella;Gullane Entretenimento, Miravista
C.I.C - CENTRAL DE INTELIGÊNCIA CEARENSE;139858;2025;14;Comédia, Ação;Edmilson Filho, Alana Ferri, Tóia Ferraz, Gustavo Falcão, Nill Marcondes, Monique Hortolani, André Segatti, Carri Costa, Valéria Vitoriano, Karla Karenina, Falcão, Nataly Rocha, Eduardo Cintra, Victor Alen, Fabio Goulart, Paulo Sérgio Bolachinha, Fêi que Dói, LC Galetto, Alcântra Costa, Charles David, Fillipe Ramos, Júnior Martins, Titela do Ceará, Cleane Sampaio, André Campos, Rafael Gomez, Lucas Alexandre, Luís Costa, Carolina Geraldo, Edglê Lima, Denis Lacerda;Halder Gomes;Paris Entretenimento, Globo Filmes, Globoplay
FANTASY ISLAND;139519;2020;16;Aventura, Fantasia, Terror, Mistério;Michael Peña, Maggie Q, Lucy Hale, Michael Rooker, Austin Stowell, Jimmy O. Yang, Portia Doubleday, Charlotte McKinney, Ryan Hansen, Mike Vogel, Parisa Fitz-Henley, Kim Coates, Robbie Jones, Jeriya Benn, Josh McConville, Tane Williams-Accra, Edmund Lembke-Hogan, Ian Roberts, Evan Evagora, Goran D. Kleut, Josh Randall, Joshua Diaz, Andrew Lees, Nick Slater, Steven A. Davis, Renée Murden, Mark Weinhandl, Tim Wong;Jeff Wadlow;Blumhouse Productions, Columbia Pictures, Tower of Babble
INCARNATE;139322;2016;Não Informado;Terror, Thriller;Aaron Eckhart, Natalija Nogulich, Keir O'Donnell, Catalina Sandino Moreno, Carice van Houten, Matt Nable, Mark Henry, Breanne Hill, Karolina Wydra, Vera Miao, Emily Jackson, Paul Vincent O'Connor, Vanya Asher, Tomas Arana, Emjay Anthony, David Mazouz, John Pirruccello, Petra Sprecher, Carlease Burke, Mark Steger, Tim Sitarz, Josue Aguirre;Brad Peyton;WWE Studios, Blumhouse Productions, IM Global
NINGUÉM É DE NINGUÉM;139209;2023;16;Drama;Carol Castro, Danton Mello, Paloma Bernardi, Rocco Pitanga, Renata Castro Barbosa, Dani Gutto, Maria Clara Baldon, Laura Sousa, Pedro Guilherme, Leo Castro, Charles Myara, Stepan Nercessian, Luiz Antonio Pilar, Fábio de Luca, Caio Paduan, Renata Canossa, Gleici Damasceno, Aline Prado, Artur Cardoso, Bernardo Tardelli, Humberto Vayne, Jovan Ferreira, Natalia Rosa, Nicolas Salim, Paguh, Saulo Segreto;Wagner de Assis;Cinética Filmes e Produções, Sony Pictures International Productions, Agência Nacional do Cinema - ANCINE
WHISTLE;137914;2026;18;Terror, Mistério;Dafne Keen, Sophie Nélisse, Sky Yang, Jhaleil Swaby, Alissa Skovbye, Percy Hynes White, Michelle Fairley, Nick Frost, Mika Amonsen, Stephen Kalyn, Conrad Coates, Lanette Ware, Christine Sahely, Dina Pino, Izaak Smith, Vicki Kim, Cameron Norris, Carson Durven, Mikayla Kong, Michael Koras, Louis Adams, Maynuka Sarwar, Jack Beeston, Clayton Scott, Natasha Tracy Taylor, Jee-Yun Lee, Brandon James Sim, Janaya Stephens, Troy James, Ruth Chiang, Julia Dyan-Porter, Toria Summerville, Matthew MacCallum, Ray Francis, Kalie Hunter, Yuliya Stetsko, Liam Chase Trefry;Corin Hardy;No Trace Camping, Wild Atlantic Pictures
ROSARIO;137913;2025;14;Terror;Emeraude Toubia, José Zúñiga, David Dastmalchian, Paul Ben-Victor, Diana Lein, Emilia Faucher, Constanza Guitérrez, Nick Ballard, Guillermo García, Indhira Serrano, Luna Baxter, Isabella Hoyos, Juan Camilo Salgado, Don Gellver, Daniel Abubakar Asema, Gamal Dillard, Deicy Campos;Felipe Vargas;Mucho Mas Media, Silk Mass, Jaguar Bite
EARLY MAN;137836;2018;L;Família, Comédia, Animação, Aventura;Eddie Redmayne, Tom Hiddleston, Maisie Williams, Timothy Spall, Miriam Margolyes, Rob Brydon, Kayvan Novak, Richard Ayoade, Selina Griffiths, Johnny Vegas, Mark Williams, Gina Yashere, Rich Webber, Simon Greenall, Nick Park, Luke Walton, Antony Bayman, Richard Beek, Tom Doggart, Tim Hands, Adrian Rhodes, Victoria Stevens, Ben Whitehead;Nick Park;StudioCanal, Aardman
SAUSAGE PARTY;136329;2016;16;Aventura, Animação, Comédia, Fantasia;Seth Rogen, Kristen Wiig, Jonah Hill, Bill Hader, Michael Cera, James Franco, Danny McBride, Craig Robinson, Paul Rudd, Nick Kroll, David Krumholtz, Edward Norton, Salma Hayek Pinault, Anders Holm, Scott Underwood, Sugar Lyn Beard, Conrad Vernon, Ian James Corlett, Michael Daingerfield, Jason Simpson, Vincent Tong, Karen E. Wright, Lauren Miller Rogen, Sam Vincent, Greg Tiernan, Brian Dobson, Harland Williams, Alistair Abell, Iris Apatow, Michael Dobson, Ian Hanlin, Maryke Hendrikse, Nicole Oliver, Kelly Sheridan, Meat Loaf;Conrad Vernon, Greg Tiernan;Columbia Pictures, Annapurna Pictures, Point Grey Pictures, Nitrogen Studios Canada
KUBO AND THE TWO STRINGS;135823;2016;10;Animação, Aventura, Família;Art Parkinson, Charlize Theron, Brenda Vaccaro, Cary-Hiroyuki Tagawa, Meyrick Murphy, George Takei, Rooney Mara, Ralph Fiennes, Matthew McConaughey, Minae Noji, Alpha Takahashi, Laura Miro, Ken Takemoto, Aaron Aoki, Luke Donaldson, Michael Sun Lee, Cary Y. Mizobe, Rachel Morihiro, Thomas Isao Morinaka, Saemi Nakamura, Zachary Alexander Rice, Mariel Sheets;Travis Knight;LAIKA
A SIMPLE FAVOR;135361;2018;16;Thriller, Comédia, Mistério;Anna Kendrick, Blake Lively, Henry Golding, Rupert Friend, Linda Cardellini, Bashir Salahuddin, Danielle Bourgon, Kelly McCormack, Andrew Rannells, Ian Ho, Joshua Satine, Paul Jurewicz, Roger Dunn, Dustin Milligan, Eric Johnson, Jason Oliveira, Patti Harrison, Ava LaFramboise, Jean Smart, Sarah Baker, Glenda Braganza, Zach Smadu, Andrew Moodie, Aparna Nancherla, Gia Sandhu, Melissa O'Neil, Jiah Mavji, Lila Yee, Sugenja Sri, Noorin Gulamgaus, Katherine Cullen, Howard Hoover, Ronnie Rowe, Melody Johnson, Corinne Conley, Olivia Sandoval, Nicole Peters, Lauren Peters, Umed Amin, Jamie Jones, Lesleh Donaldson, Tina Legris, Chris Owens, Geoffrey Antoine, Rosanna Scotto, Lorene Stokes, Stacey Coke, Jung-Yul Kim, Domenic Cina, Julio Benitez Guardiola, Debra Kaiser, Carmen Araiza, Michael Park Ingram, Glen Brough;Paul Feig;Feigco Entertainment, Bron Studios
I FEEL PRETTY;135334;2018;12;Comédia, Romance;Amy Schumer, Michelle Williams, Tom Hopper, Rory Scovel, Adrian Martinez, Emily Ratajkowski, Aidy Bryant, Busy Philipps, Lauren Hutton, Sasheer Zamata, Angela Davis, Caroline Day, Anastagia Pierre Friel, Gia Crovatin, Olivia Culpo, Naomi Campbell, Kyle Grooms, Paul McCallion, Phil Hanley, Dave Attell, Nikki Glaser, Dakota Lustick, Jeffrey Grover, William Ambrose Kennedy, Camille Kostek, Aina Adler, Sarah Newhouse, Lawrence Watson, Tony Viveiros, Sarah Fischer, Mandy Schmieder, Rachel Feinstein, Kevin Kane, Benz Veal, Chloe Hurst, Monib Abhat, Yvette Williams, Andrea Kostovick, Jacqueline Giraldo, Lexie Roth, Danielle Lyons, Michael Badejo, Forest Quaglia, Audrey Fratelli, Elbert Kim, GeGe Jackson, Uliana Tabaka;Abby Kohn, Marc Silverstein;Wonderland Sound and Vision, Voltage Pictures, Universal Pictures, STXfilms, Huayi Brothers Pictures 浙江华谊兄弟影业
